,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
BSX,Health Care,Boston Scientific Corporation,0.168433,40.94,S&P500,71.08,0.58,0.30%,1.43B,-0.27%,57.47B,20.69,1.98,-5.28%,1.43B,8.16%,828.00M,6.62,0.44,93.00%,1.13%,-2.59%,12.33B,4.66,946.40%,-0.02%,1.92,-3.92%,11.72,3.49,3.10%,48.60,-8.31%,0.23,176.84,10.74%,6.00%,34.98 - 47.49,-3.63%,-,43.64,22.20%,4.50%,-13.80%,0.86,-,0.80,7.20%,68.50%,17.04%,0.84,41000,1.20,10.00%,9.70%,64.49,1.43% 1.91%,Yes,0.56,-70.50%,8.00%,0.64,41.23,Yes,0.54,Jul 27 BMO,0.00%,8.38M,40.94,1.80,5.58%,6.56%,-1.50%,"5,322,211",-0.70%,0
FISV,Information Technology,Fiserv Inc.,0.177315,105.87,S&P500 NDQ100,34.48,3.08,0.50%,645.20M,0.38%,67.06B,14.29,7.42,89.23%,612.34M,13.64%,2.03B,2.25,1.71,92.80%,1.38%,6.56%,17.01B,3.94,41.70%,0.75%,2.61,-0.19%,48.22,2.20,2.70%,122.91,-3.25%,4.83,21.95,15.33%,6.50%,87.03 - 119.86,2.21%,-,27.46,-0.90%,3.70%,-11.50%,0.87,-,1.00,24.10%,51.40%,21.89%,2.62,44000,1.00,9.80%,16.90%,67.66,2.29% 2.36%,Yes,0.69,129.80%,11.90%,0.91,106.66,Yes,0.67,Jul 26 BMO,0.00%,3.24M,106.08,2.00,6.74%,9.98%,6.21%,"2,941,014",-0.54%,0
APD,Materials,Air Products and Chemicals Inc.,0.16334,262.64,S&P500,26.87,9.77,0.32%,222.00M,5.81%,55.82B,22.79,11.53,0.00%,221.06M,11.37%,2.17B,2.22,2.61,84.30%,0.94%,11.30%,11.39B,4.90,6.60%,0.80%,1.85,-6.49%,62.86,4.18,8.30%,282.71,-9.03%,15.04,17.46,12.13%,16.40%,216.24 - 316.39,-13.68%,6.48,-,12.60%,8.60%,-16.99%,0.82,2.47%,1.80,6.60%,28.10%,21.46%,5.81,20625,1.90,17.70%,20.00%,72.34,2.62% 2.02%,Yes,0.53,12.10%,19.60%,1.24,257.73,Yes,0.48,Aug 04 BMO,60.70%,1.13M,262.64,2.50,11.22%,8.95%,0.58%,"1,404,704",1.91%,0
OXY,Energy,Occidental Petroleum Corporation,0.146194,59.07,S&P500,8.94,6.60,0.20%,936.70M,-10.25%,52.81B,7.30,8.09,-,935.58M,-4.00%,6.57B,0.26,3.02,82.90%,6.11%,-5.27%,29.15B,1.81,113.30%,2.06%,2.06,47.53%,16.17,3.65,8.60%,75.21,125.31%,2.13,27.66,34.86%,60.40%,21.62 - 74.04,103.55%,0.52,5.61,29.10%,8.60%,-20.30%,1.91,0.88%,1.00,20.70%,64.90%,172.94%,2.99,11678,1.20,56.40%,25.00%,44.61,4.96% 4.24%,Yes,1.74,-,22.40%,0.76,57.46,Yes,1.71,Aug 02 AMC,2.30%,27.71M,59.01,2.40,-3.84%,-5.33%,22.47%,"20,945,572",2.70%,1
FDX,Industrials,FedEx Corporation,0.160877,234.89,S&P500,16.27,14.44,5.70%,260.00M,0.77%,59.61B,9.43,24.92,-0.28%,239.79M,1.53%,3.82B,1.42,5.24,73.20%,1.57%,13.34%,93.51B,0.64,-22.10%,0.48%,1.56,-5.03%,95.92,2.45,4.50%,291.22,-14.83%,27.18,8.64,11.46%,15.50%,192.82 - 282.88,-9.18%,4.60,26.19,5.30%,11.40%,-16.96%,1.21,1.96%,1.40,9.20%,68.70%,21.82%,6.22,191000,1.40,8.10%,6.70%,57.99,2.20% 2.31%,Yes,0.81,-63.40%,4.10%,0.63,236.10,Yes,0.81,Jun 23 AMC,20.70%,2.41M,234.89,1.90,3.57%,4.40%,2.30%,"1,506,332",-0.51%,1
ICE,Financials,Intercontinental Exchange Inc.,0.171816,104.4,S&P500,14.58,7.20,0.40%,561.00M,2.97%,56.05B,18.32,5.73,-8.03%,550.74M,8.63%,4.07B,2.24,1.27,91.90%,1.38%,3.34%,9.20B,6.09,90.80%,0.50%,2.32,-17.88%,40.40,2.60,2.40%,123.83,-12.06%,1.20,87.86,6.52%,18.50%,90.05 - 139.79,-23.21%,1.52,25.53,24.60%,8.80%,-24.87%,0.91,1.45%,1.00,9.00%,78.80%,16.62%,2.60,9009,1.00,1.20%,53.80%,62.42,2.16% 2.22%,Yes,0.63,1.90%,44.20%,0.85,107.44,Yes,0.55,Aug 04 BMO,18.90%,3.26M,105.02,1.90,6.80%,7.22%,-12.37%,"2,770,904",-2.25%,0
ITW,Industrials,Illinois Tool Works Inc.,0.170475,210.76,S&P500,24.76,8.51,0.20%,312.50M,1.44%,62.50B,21.75,9.69,-20.16%,310.46M,13.53%,2.69B,3.32,2.20,81.40%,1.85%,1.24%,14.85B,4.21,28.50%,0.09%,5.12,-12.71%,11.46,18.39,16.90%,191.94,-7.15%,4.37,48.22,7.46%,75.50%,173.52 - 249.81,-14.60%,4.88,128.86,8.40%,25.20%,-15.63%,1.12,2.32%,1.20,1.20%,40.70%,21.46%,4.61,45000,1.70,11.10%,23.30%,72.96,2.48% 2.07%,Yes,2.19,0.00%,18.10%,0.95,209.42,Yes,1.90,Aug 02 BMO,55.20%,1.12M,210.76,2.90,9.60%,9.39%,-2.33%,"1,058,178",0.64%,0
MRNA,Health Care,Moderna Inc.,0.192032,185.9,S&P500 NDQ100,5.49,34.01,5.30%,402.00M,13.86%,71.57B,21.10,8.85,-9.00%,360.34M,8.38%,14.64B,-,4.55,64.30%,4.52%,31.56%,22.60B,3.17,-1.90%,0.19%,2.92,13.96%,42.48,4.40,65.50%,221.13,-55.11%,26.41,7.08,-,121.90%,115.61 - 497.49,-26.44%,-,5.49,111.10%,81.90%,-62.44%,1.60,-,1.60,179.40%,84.80%,61.61%,10.19,2700,1.80,213.20%,71.90%,65.15,6.31% 5.55%,Yes,0.05,202.30%,64.80%,0.97,194.18,Yes,0.04,Aug 03 BMO,0.00%,5.58M,186.84,2.50,11.13%,23.73%,-2.10%,"5,418,723",-3.78%,0
GD,Industrials,General Dynamics Corporation,0.150209,228.76,S&P500,19.37,11.81,0.60%,276.27M,0.92%,60.85B,16.35,13.99,-1.49%,260.92M,3.71%,3.31B,1.59,3.15,86.60%,1.19%,-4.38%,38.44B,1.58,5.00%,0.09%,2.38,7.82%,62.91,3.64,6.50%,263.73,16.30%,8.36,27.37,12.15%,19.20%,188.64 - 254.99,9.73%,5.04,17.36,6.00%,12.00%,-10.29%,0.87,2.20%,1.00,4.70%,17.00%,21.27%,5.02,103100,1.40,-0.30%,10.80%,61.70,2.19% 2.06%,Yes,0.66,5.20%,8.60%,0.54,229.16,Yes,0.56,Jul 27 BMO,20.00%,1.30M,228.76,2.10,4.25%,3.58%,4.46%,"699,090",-0.17%,0
PXD,Energy,Pioneer Natural Resources Company,0.13712,218.0,S&P500,13.25,16.39,0.40%,243.00M,-8.36%,50.23B,7.53,28.83,-13.39%,240.58M,0.22%,4.19B,0.62,8.74,92.90%,2.26%,-13.29%,20.95B,2.40,810.30%,0.84%,1.96,1.18%,97.40,2.23,11.30%,294.67,52.55%,14.08,15.43,21.21%,18.20%,128.98 - 288.46,23.92%,16.87,9.04,35.50%,18.20%,-24.72%,1.54,7.77%,1.40,38.50%,53.90%,68.36%,9.28,1932,1.50,100.60%,38.80%,45.32,4.13% 3.67%,Yes,0.24,1674.40%,20.00%,1.24,212.86,Yes,0.23,Aug 02 AMC,40.70%,2.77M,217.15,2.00,-0.24%,-8.69%,0.07%,"3,428,102",2.02%,0
ETN,Industrials,Eaton Corp. Plc,0.168319,147.92,S&P500,26.93,5.52,0.20%,399.20M,0.18%,56.63B,17.94,8.29,-3.04%,397.78M,14.71%,2.22B,2.72,1.82,84.10%,1.03%,0.18%,19.78B,2.86,53.00%,0.32%,2.08,-5.22%,41.63,3.57,6.30%,157.30,-8.20%,1.33,112.13,9.90%,13.80%,122.50 - 175.72,-13.99%,3.24,398.77,4.90%,9.20%,-15.41%,1.19,2.18%,0.60,-0.10%,32.40%,21.35%,3.22,85947,1.00,3.20%,15.70%,71.57,1.84% 2.26%,Yes,0.58,15.90%,11.20%,0.63,148.71,Yes,0.41,Aug 02 BMO,55.60%,1.97M,148.65,2.10,8.77%,10.45%,-2.14%,"1,242,335",-0.04%,0
CNC,Health Care,Centene Corporation,0.155388,93.05,S&P500,29.60,3.14,0.50%,583.64M,0.09%,53.71B,14.74,6.31,-0.64%,574.60M,9.14%,1.86B,2.40,1.24,97.10%,1.28%,9.70%,138.09B,0.39,-26.90%,0.30%,2.51,14.13%,45.04,2.07,2.30%,103.55,38.41%,23.28,4.00,12.32%,7.00%,59.67 - 94.58,12.92%,-,8.97,6.00%,3.40%,-1.62%,0.50,-,-,25.40%,-,55.94%,2.15,72500,-,15.80%,1.80%,64.64,2.13% 2.32%,Yes,0.71,67.90%,1.30%,0.66,92.97,Yes,0.70,Jul 26 BMO,0.00%,2.92M,93.05,2.00,2.84%,8.79%,14.06%,"1,941,425",0.09%,0
SLB,Energy,Schlumberger NV,0.137131,34.52,S&P500,18.97,1.83,0.20%,1.41B,-6.40%,48.10B,12.34,2.81,-3.70%,1.41B,0.81%,2.62B,0.43,0.55,81.00%,1.79%,-17.63%,24.81B,1.94,117.40%,0.09%,1.81,-10.16%,11.55,3.00,6.30%,49.36,24.14%,2.03,17.08,44.40%,17.50%,25.90 - 49.83,15.73%,0.70,33.06,25.10%,8.00%,-30.44%,1.88,2.02%,1.00,-3.80%,17.00%,33.85%,1.60,92000,1.40,20.20%,14.30%,45.57,4.15% 3.81%,Yes,0.85,120.20%,10.60%,0.49,33.95,Yes,0.79,Jul 22 BMO,29.60%,13.96M,34.66,-,0.47%,-10.33%,-7.25%,"6,856,005",2.09%,1
AEP,Utilities,American Electric Power Company Inc.,0.146683,92.79,S&P500 NDQ100,19.59,5.08,0.10%,513.60M,0.91%,49.92B,18.83,5.28,-11.64%,513.40M,5.23%,2.57B,3.09,1.55,74.90%,1.73%,-0.20%,17.92B,2.79,14.60%,-0.19%,3.21,10.28%,46.96,2.12,2.90%,105.79,10.93%,1.53,65.06,6.35%,11.10%,80.22 - 104.81,11.79%,3.12,12.17,31.80%,5.60%,-5.10%,0.35,3.14%,0.70,0.50%,67.40%,23.98%,1.81,16688,0.80,21.30%,21.10%,62.87,1.76% 1.74%,Yes,1.56,-11.80%,14.40%,0.98,99.95,Yes,1.37,Jul 27 BMO,60.50%,2.77M,99.46,2.20,3.84%,3.25%,7.49%,"2,697,521",-0.49%,0
NEM,Materials,Newmont Corporation,0.10276,44.85,S&P500,47.93,0.93,0.10%,794.00M,-1.13%,35.79B,17.63,2.54,-15.96%,792.46M,-25.22%,742.00M,-,0.73,83.70%,1.43%,-38.11%,12.37B,2.89,-58.10%,0.40%,1.40,-27.56%,26.98,1.66,2.00%,66.01,-26.91%,5.45,8.21,-,3.60%,43.90 - 86.37,-27.81%,2.20,56.28,39.30%,0.50%,-48.16%,0.30,4.91%,2.10,12.80%,51.10%,1.98%,1.98,14400,2.80,-0.20%,6.20%,22.81,3.06% 3.63%,Yes,0.29,-40.20%,6.40%,1.01,45.28,Yes,0.28,Jul 25 BMO,220.40%,8.06M,44.77,2.70,-11.88%,-24.45%,-30.05%,"8,133,651",-1.13%,1
PSA,Real Estate,Public Storage,0.144266,331.5,S&P500,32.19,10.29,8.30%,175.17M,1.47%,58.11B,28.81,11.49,-0.03%,151.60M,9.48%,1.81B,1.89,2.54,80.90%,1.75%,-1.32%,3.62B,16.04,56.90%,0.09%,3.43,-6.18%,30.53,10.85,11.20%,365.92,11.57%,5.36,61.79,17.00%,35.40%,280.92 - 405.31,-7.99%,8.00,62.59,7.70%,13.20%,-18.28%,0.35,2.42%,-,5.90%,73.70%,17.90%,7.38,5800,-,26.90%,49.00%,70.21,2.62% 2.27%,Yes,1.39,19.30%,50.00%,1.03,330.57,Yes,1.39,Aug 04 AMC,77.30%,772.44K,331.20,2.20,6.81%,8.24%,-0.64%,"792,336",0.19%,0
SRE,Utilities,Sempra Energy,0.144998,159.15,S&P500,50.53,3.16,0.04%,316.35M,-3.62%,48.45B,17.77,8.99,-22.45%,314.10M,8.20%,992.00M,7.40,1.75,90.90%,1.23%,-0.83%,13.42B,3.61,-38.80%,0.09%,2.44,16.62%,79.74,2.00,1.40%,171.44,20.20%,8.31,19.23,6.83%,4.00%,119.56 - 173.28,20.80%,4.58,29.31,-6.00%,2.30%,-7.79%,0.67,2.87%,0.70,4.70%,-,33.65%,3.40,15390,0.70,17.20%,8.40%,56.09,2.10% 2.10%,Yes,1.07,-32.00%,7.40%,1.18,161.44,Yes,0.97,Aug 04 BMO,138.60%,1.58M,159.79,2.30,2.68%,3.49%,9.56%,"1,856,133",-1.02%,0
MCK,Health Care,McKesson Corporation,0.140329,344.96,S&P500,47.86,7.24,0.10%,147.20M,1.50%,49.49B,13.57,25.55,-48.47%,143.47M,7.92%,1.12B,3.52,5.28,92.60%,1.74%,9.98%,263.97B,0.19,125.70%,0.02%,2.24,29.64%,-15.43,-,1.80%,369.92,73.63%,24.74,14.01,13.59%,-95.90%,192.38 - 348.49,39.47%,2.16,15.33,-20.80%,33.60%,-0.52%,0.63,0.62%,0.60,5.90%,5.00%,80.21%,9.19,58000,1.00,11.80%,0.70%,63.12,3.12% 2.46%,Yes,-,-40.80%,0.40%,1.04,337.81,Yes,-,Aug 03 AMC,24.40%,1.12M,346.69,2.00,4.31%,6.83%,23.19%,"1,155,075",2.63%,0
EMR,Industrials,Emerson Electric Co.,0.152075,90.39,S&P500,18.89,4.79,0.10%,593.30M,0.36%,51.48B,16.51,5.47,-0.80%,589.63M,11.77%,2.87B,1.65,1.30,76.00%,0.78%,1.30%,18.91B,2.72,18.10%,-0.16%,1.58,-6.42%,17.82,5.07,10.90%,100.50,-10.56%,12.17,7.43,11.44%,28.70%,76.16 - 105.99,-2.78%,2.06,45.80,9.30%,15.00%,-14.72%,1.41,2.28%,1.40,4.70%,41.00%,18.69%,1.74,86700,1.70,8.10%,17.40%,69.14,1.41% 1.94%,Yes,1.04,21.40%,15.20%,0.84,89.59,Yes,0.78,Aug 09 BMO,42.40%,2.90M,90.39,2.20,7.74%,7.45%,-0.79%,"2,424,360",0.89%,0
GM,Consumer Discretionary,General Motors Company,0.150952,35.9,S&P500,6.85,5.26,0.20%,1.46B,-0.55%,50.29B,5.64,6.39,-0.23%,1.39B,10.41%,7.72B,2.36,1.96,83.20%,2.25%,-9.74%,132.10B,0.38,54.70%,0.00%,1.93,-32.10%,43.86,0.82,3.10%,52.30,-33.76%,19.24,1.87,2.90%,12.90%,30.33 - 67.21,-38.50%,-,17.17,2.20%,3.90%,-46.35%,1.28,-,0.90,-3.20%,12.80%,18.89%,1.31,157000,1.10,4.70%,5.70%,56.15,3.02% 3.30%,Yes,1.73,-40.20%,5.80%,0.67,36.23,Yes,1.22,Jul 26 BMO,0.00%,16.21M,36.06,1.90,5.52%,4.33%,-22.41%,"10,873,097",-0.47%,1
LHX,Industrials,L3Harris Technologies Inc,0.131095,235.13,S&P500,25.27,9.28,0.30%,192.10M,-2.25%,42.22B,15.97,14.69,-3.53%,192.10M,-1.67%,1.85B,4.08,3.50,84.00%,1.20%,-2.86%,17.35B,2.43,75.10%,0.19%,2.36,9.84%,99.35,2.36,5.50%,279.29,1.44%,2.33,100.51,6.20%,9.90%,200.71 - 279.71,10.01%,4.48,45.54,12.50%,6.20%,-16.13%,0.67,1.91%,1.00,24.70%,30.20%,16.88%,6.51,47000,1.30,-11.40%,11.80%,51.59,2.79% 2.54%,Yes,0.37,20.90%,11.00%,1.39,237.85,Yes,0.36,Jul 28 AMC,43.70%,974.98K,234.58,-,1.75%,0.26%,1.15%,"1,353,977",-1.37%,0
SNPS,Information Technology,Synopsys Inc.,0.162823,373.09,S&P500 NDQ100,58.26,6.42,0.40%,153.09M,1.85%,55.08B,38.78,9.65,-30.13%,152.08M,17.17%,1.01B,2.97,1.99,92.20%,1.09%,32.57%,4.76B,11.57,12.80%,0.19%,1.72,23.32%,36.35,10.30,11.40%,383.63,27.66%,11.69,32.01,19.60%,18.90%,255.02 - 377.60,1.57%,-,34.84,22.80%,12.70%,-0.88%,1.21,-,1.20,11.70%,80.00%,46.77%,9.42,16361,1.20,24.90%,23.20%,77.20,2.42% 2.73%,Yes,0.00,52.00%,21.20%,0.69,372.29,Yes,0.00,May 18 AMC,0.00%,963.10K,374.29,1.90,10.98%,16.74%,16.87%,"659,791",0.54%,0
KMB,Consumer Staples,Kimberly-Clark Corporation,0.126951,133.38,S&P500,25.27,5.28,0.10%,337.40M,1.21%,45.12B,19.96,6.68,-17.68%,337.07M,-1.71%,1.79B,4.22,1.49,76.80%,2.05%,-2.41%,20.13B,2.24,-22.00%,0.20%,4.20,-2.27%,1.76,75.78,9.90%,132.88,-0.02%,0.92,145.08,5.99%,312.50%,117.32 - 145.79,-6.68%,4.64,168.99,-2.20%,22.00%,-8.51%,0.33,3.48%,0.50,1.20%,30.20%,13.69%,2.57,45000,0.80,7.20%,12.30%,50.81,2.30% 1.80%,Yes,15.16,8.20%,8.90%,0.48,132.76,Yes,13.42,Jul 26 BMO,86.40%,1.64M,133.38,3.20,-0.05%,1.16%,0.34%,"781,309",0.47%,1
MPC,Energy,Marathon Petroleum Corporation,0.139398,90.22,S&P500,20.94,4.31,0.20%,564.00M,-1.57%,47.91B,9.31,9.69,-22.98%,539.38M,8.14%,2.61B,0.73,8.04,79.80%,3.08%,-4.12%,136.44B,0.35,111.90%,0.04%,2.48,17.21%,42.50,2.12,12.00%,119.29,59.71%,19.95,4.52,28.81%,40.30%,53.47 - 114.35,40.99%,2.32,14.39,-1.80%,7.50%,-21.10%,1.76,2.57%,1.10,13.80%,9.10%,68.73%,3.53,17700,1.40,67.80%,4.20%,52.25,3.77% 3.43%,Yes,1.11,303.50%,7.90%,0.57,90.17,Yes,1.07,Aug 02 BMO,13.70%,6.69M,90.22,1.80,3.38%,-2.37%,13.33%,"3,830,753",0.06%,0
GIS,Consumer Staples,General Mills Inc.,0.130003,76.17,S&P500,17.23,4.42,0.20%,604.20M,1.85%,44.90B,17.96,4.24,-9.54%,596.22M,0.87%,2.71B,3.57,0.98,78.50%,2.41%,7.66%,18.99B,2.36,16.90%,0.10%,3.76,10.31%,17.45,4.37,8.50%,72.94,32.29%,0.97,78.85,4.82%,27.40%,56.67 - 76.94,13.05%,2.16,29.87,9.80%,13.50%,-1.00%,0.34,2.84%,0.40,4.00%,33.70%,34.41%,1.36,32500,0.60,8.10%,18.90%,63.91,1.42% 1.59%,Yes,1.10,99.90%,14.30%,0.59,75.52,Yes,0.87,Jun 29 BMO,45.80%,3.82M,76.17,2.90,1.83%,5.93%,11.80%,"2,264,998",0.86%,0
EXC,Utilities,Exelon Corporation,0.125105,44.51,S&P500 NDQ100,17.74,2.52,0.10%,981.00M,-3.70%,41.97B,18.54,2.42,-2.63%,977.96M,0.86%,2.48B,1.11,0.46,84.30%,1.61%,-4.54%,31.78B,1.32,-13.40%,-0.02%,2.47,2.24%,23.95,1.87,2.10%,48.53,31.71%,2.64,16.95,16.00%,8.40%,33.38 - 50.71,8.70%,1.35,-,7.60%,3.10%,-11.71%,0.48,3.02%,0.90,3.00%,60.20%,34.14%,1.09,31518,0.90,15.00%,11.80%,49.94,2.36% 2.04%,Yes,1.68,-4.40%,8.20%,1.81,45.06,Yes,1.51,Aug 03 BMO,56.10%,6.39M,44.77,2.30,0.56%,-0.81%,4.09%,"11,591,788",-0.64%,0
KLAC,Information Technology,KLA Corporation,0.17112,395.3,S&P500 NDQ100,18.06,21.91,0.30%,150.15M,3.18%,55.61B,17.05,23.21,-3.04%,148.97M,25.96%,3.32B,1.59,6.18,92.00%,5.21%,18.70%,9.21B,6.04,73.60%,-0.06%,5.45,5.90%,27.18,14.56,26.50%,413.25,11.88%,18.35,21.57,11.34%,77.70%,282.83 - 457.12,-7.99%,4.20,28.73,24.40%,32.30%,-13.43%,1.31,1.06%,1.60,18.30%,62.80%,39.92%,13.45,11300,2.30,26.90%,34.50%,71.65,2.85% 3.58%,Yes,0.91,32.10%,32.40%,0.85,397.40,Yes,0.91,Jul 28 AMC,19.90%,1.42M,395.74,2.00,12.73%,16.12%,8.39%,"1,212,699",-0.42%,0
F,Consumer Discretionary,Ford Motor Company,0.172293,15.23,S&P500,5.33,2.87,0.20%,4.02B,4.15%,55.22B,7.59,2.02,0.79%,3.94B,31.33%,11.67B,0.64,0.52,53.80%,2.90%,5.30%,148.03B,0.37,22.60%,-0.04%,1.83,-23.08%,10.98,1.39,4.60%,15.96,11.60%,10.17,1.50,8.33%,26.80%,10.61 - 25.87,-26.34%,0.60,11.55,31.10%,1.60%,-40.86%,1.29,3.92%,1.00,-2.10%,12.20%,44.20%,0.54,183000,1.20,50.20%,3.10%,70.88,3.46% 3.49%,Yes,2.92,18.20%,7.90%,1.09,15.37,Yes,1.92,Jul 27 AMC,10.30%,62.49M,15.30,2.80,17.17%,21.15%,-8.17%,"67,919,749",-0.46%,1
MCO,Financials,Moody's Corporation,0.144075,311.07,S&P500,33.63,9.25,0.10%,184.10M,0.26%,54.02B,27.22,11.43,-10.44%,182.96M,9.17%,1.73B,6.34,2.23,93.90%,1.70%,2.32%,5.97B,9.05,25.40%,-0.05%,3.22,-8.61%,12.46,24.97,11.90%,306.33,-19.59%,9.81,31.72,5.30%,70.10%,251.01 - 407.94,-20.36%,2.80,69.43,53.90%,22.70%,-23.75%,1.20,0.90%,1.40,11.50%,71.70%,23.93%,7.25,14206,1.40,-11.10%,39.40%,66.63,2.04% 2.41%,Yes,3.34,-42.40%,28.90%,0.50,313.29,Yes,3.12,Jul 26 BMO,28.30%,968.22K,311.07,2.20,6.28%,9.54%,-6.74%,"481,553",-0.71%,0
MET,Financials,MetLife Inc.,0.126026,63.47,S&P500,8.21,7.71,0.20%,823.80M,0.08%,50.66B,7.73,8.19,-3.43%,685.11M,0.43%,6.67B,-,1.45,76.10%,1.65%,-6.22%,71.27B,0.71,28.60%,0.27%,2.41,-6.54%,65.51,0.97,0.90%,75.20,7.58%,29.35,2.16,-0.70%,10.30%,57.05 - 73.18,1.30%,2.00,4.44,18.40%,8.80%,-13.50%,1.08,3.16%,-,3.10%,-,10.96%,1.51,43000,-,1.20%,13.30%,54.72,1.99% 2.28%,Yes,0.32,124.50%,9.40%,0.89,63.80,Yes,0.32,Aug 03 AMC,24.70%,4.68M,63.30,1.90,3.00%,0.41%,-2.76%,"4,164,765",-0.78%,0
VLO,Energy,Valero Energy Corporation,0.121117,105.21,S&P500,6.02,17.43,0.40%,408.84M,-5.22%,43.13B,7.55,13.90,-1.07%,406.18M,-1.27%,7.06B,0.12,7.37,80.60%,2.37%,-16.56%,155.61B,0.28,164.80%,0.19%,1.72,23.39%,51.90,2.02,11.90%,136.01,59.78%,13.13,8.00,51.37%,37.30%,58.85 - 146.80,39.78%,3.92,4.99,-14.30%,5.80%,-28.48%,1.74,3.73%,0.90,8.50%,7.00%,78.40%,5.23,9813,1.20,86.10%,6.30%,43.79,4.55% 4.21%,Yes,0.61,-,4.50%,0.66,104.33,Yes,0.57,Jul 28 BMO,22.50%,5.57M,104.99,1.80,-2.08%,-9.88%,9.80%,"3,677,180",0.63%,0
SYY,Consumer Staples,Sysco Corporation,0.124694,86.25,S&P500,44.39,1.94,0.10%,508.37M,1.59%,44.70B,20.08,4.29,-31.23%,506.46M,0.23%,999.90M,0.85,1.11,85.80%,1.89%,3.13%,65.82B,0.68,143.50%,-0.02%,4.04,8.86%,2.60,33.17,4.60%,95.27,17.32%,1.69,51.03,52.13%,69.30%,68.05 - 91.53,9.80%,1.96,-,-9.10%,10.90%,-5.77%,1.04,2.27%,0.70,0.40%,17.90%,26.75%,1.68,58000,1.20,42.90%,3.30%,51.80,1.83% 1.88%,Yes,8.41,242.70%,1.50%,0.77,86.29,Yes,8.03,Aug 09 BMO,95.10%,2.37M,86.25,2.30,-0.40%,2.26%,6.35%,"1,826,835",-0.05%,1
ADM,Consumer Staples,Archer-Daniels-Midland Company,0.131886,82.21,S&P500,13.06,6.34,0.40%,566.00M,-0.01%,45.09B,13.59,6.09,-12.66%,557.82M,11.24%,3.60B,1.42,1.32,82.10%,1.20%,-7.44%,94.36B,0.48,52.50%,0.34%,1.92,9.37%,43.10,1.92,6.10%,94.38,40.75%,1.66,49.77,9.20%,15.50%,58.44 - 98.88,22.44%,1.60,56.29,17.20%,6.60%,-16.30%,0.79,1.93%,0.90,6.50%,7.40%,41.62%,2.24,41000,1.50,19.00%,3.90%,61.80,2.14% 2.50%,Yes,0.47,73.20%,3.80%,0.63,82.02,Yes,0.33,Jul 26 BMO,24.20%,3.48M,82.76,2.30,8.01%,3.79%,7.10%,"2,176,805",0.90%,0
AZO,Consumer Discretionary,AutoZone Inc.,0.122735,2191.5,S&P500,19.40,113.17,0.10%,19.80M,2.70%,42.67B,17.41,126.10,-35.45%,19.41M,1.23%,2.41B,2.13,38.48,97.50%,2.19%,11.26%,15.82B,2.70,32.30%,0.19%,2.28,8.13%,-171.09,-,16.70%,2230.11,33.88%,13.53,162.26,9.10%,-92.10%,1503.30 - 2267.40,4.71%,-,16.07,18.50%,63.10%,-3.18%,0.79,-,0.10,6.60%,52.40%,46.02%,53.10,62000,0.80,5.90%,20.30%,59.03,2.41% 2.37%,Yes,-,9.60%,15.20%,0.50,2164.13,Yes,-,May 24 BMO,0.00%,186.16K,2195.19,2.20,1.55%,4.00%,9.91%,"92,213",1.44%,0
FCX,Materials,Freeport-McMoRan Inc.,0.119942,30.26,S&P500,10.45,2.90,0.40%,1.46B,-4.06%,40.73B,14.33,2.11,-2.84%,1.44B,3.89%,4.30B,-,0.49,80.20%,2.15%,-23.42%,22.84B,1.78,611.10%,0.24%,1.44,-20.41%,10.22,2.96,9.10%,38.51,-15.05%,6.20,4.88,-,31.70%,24.80 - 51.76,-27.02%,0.30,5.52,24.40%,25.90%,-41.52%,2.00,0.99%,1.70,9.00%,38.60%,22.06%,1.49,24700,2.40,36.10%,36.60%,52.31,4.74% 4.62%,Yes,0.65,113.80%,18.80%,0.83,28.76,Yes,0.56,Jul 21 BMO,12.80%,21.43M,30.27,2.20,7.52%,-6.82%,-23.22%,"17,867,750",5.25%,1
