,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
ROP,Information Technology,Roper Technologies Inc.,0.130325,413.38,S&P 500,44.15,9.36,0.30%,105.60M,5.50%,43.98B,25.62,16.13,-0.16%,105.13M,4.84%,1.00B,4.83,3.74,98.60%,1.27%,-8.96%,5.93B,7.42,18.10%,0.03%,1.96,-5.61%,128.33,3.22,4.80%,491.50,-16.76%,30.43,13.58,9.15%,9.70%,369.51 - 505.00,-15.96%,2.48,25.24,7.50%,6.10%,-18.14%,1.02,0.60%,1.20,8.80%,67.70%,11.87%,8.99,19300,1.30,10.90%,25.00%,57.92,2.07% 2.08%,Yes,0.55,5.90%,19.40%,0.65,410.92,Yes,0.49,Jul 22 BMO,20.60%,680.26K,413.38,2.30,3.57%,1.31%,-8.11%,"438,976",0.60%
O,Real Estate,Realty Income Corporation,0.128547,71.61,S&P 500,70.21,1.02,0.10%,593.83M,3.08%,42.62B,44.48,1.61,0.00%,590.42M,5.32%,462.90M,4.98,0.43,78.90%,2.64%,-2.62%,2.44B,17.43,-24.30%,0.13%,3.84,5.43%,42.95,1.67,1.40%,75.19,4.92%,0.25,281.11,14.10%,2.40%,62.28 - 75.40,0.03%,2.97,222.19,-5.10%,0.70%,-5.03%,0.70,4.15%,-,13.50%,93.60%,14.97%,1.30,367,-,82.50%,17.70%,63.05,1.22% 1.72%,Yes,0.63,30.00%,18.90%,0.50,71.35,Yes,0.63,Aug 03 AMC,281.10%,4.07M,71.61,2.20,3.07%,5.49%,4.35%,"2,049,327",0.36%
COF,Financials,Capital One Financial Corp,0.12822,110.93,S&P 500,4.36,25.44,1.30%,410.40M,0.40%,45.74B,6.18,17.96,-0.57%,382.99M,6.45%,11.05B,-,5.12,91.80%,1.94%,-18.00%,26.29B,1.74,420.00%,-0.16%,2.66,-24.29%,125.49,0.88,2.80%,143.30,-30.45%,65.01,1.71,-6.60%,21.40%,98.54 - 177.95,-23.54%,2.40,4.37,31.20%,22.90%,-37.66%,1.49,2.16%,-,2.40%,-,12.57%,4.27,51500,-,8.40%,99.30%,50.68,3.20% 3.43%,Yes,0.87,-20.10%,45.50%,0.87,108.93,Yes,0.87,Jul 21 AMC,7.40%,2.80M,110.93,2.20,2.34%,-2.04%,-19.72%,"2,430,401",1.84%
ORLY,Consumer Discretionary,O'Reilly Automotive Inc.,0.135445,682.41,S&P 500,21.95,31.21,0.40%,66.57M,1.85%,44.88B,18.69,36.66,-2.08%,65.00M,9.08%,2.15B,2.22,8.97,86.80%,1.15%,-3.19%,13.53B,3.32,32.10%,0.12%,1.19,7.75%,-4.93,-,18.20%,737.83,10.35%,2.92,234.36,9.90%,-,562.90 - 748.68,-2.98%,-,17.57,23.70%,61.20%,-8.48%,1.00,-,0.10,9.20%,52.40%,21.73%,13.45,68679,0.70,6.60%,21.40%,64.13,1.42% 2.04%,Yes,-,1.50%,15.90%,0.52,688.20,Yes,-,Jul 27 AMC,0.00%,630.04K,685.20,2.10,3.82%,8.20%,4.37%,"324,525",-0.44%
AIG,Financials,American International Group Inc.,0.121775,52.05,S&P 500,4.49,11.59,0.10%,816.31M,4.33%,41.47B,8.16,6.38,-0.95%,791.03M,4.94%,9.74B,0.39,1.12,93.50%,0.97%,-13.88%,53.41B,0.78,257.40%,-0.02%,1.43,-9.19%,67.94,0.77,1.60%,67.36,10.02%,3.18,16.35,11.51%,15.50%,46.18 - 65.73,-8.46%,1.28,8.96,77.40%,11.70%,-20.81%,1.24,2.46%,-,-0.30%,-,12.71%,1.59,36600,-,9.40%,27.00%,50.31,2.27% 2.74%,Yes,0.54,16.60%,18.20%,0.63,51.33,Yes,0.54,Aug 08 AMC,10.90%,5.37M,52.05,2.40,1.69%,-3.77%,-10.03%,"3,382,456",1.40%
TRV,Financials,Travelers Companies Inc.,0.112691,159.98,DJIA S&P500,11.09,14.42,0.40%,246.01M,3.22%,38.49B,10.89,14.69,-23.36%,239.03M,0.13%,3.54B,3.08,2.43,84.10%,1.42%,-7.58%,35.78B,1.08,37.80%,0.19%,2.69,-1.62%,95.95,1.67,3.00%,175.62,8.19%,2.95,54.21,3.60%,13.40%,145.40 - 187.98,2.27%,3.72,6.41,7.10%,11.10%,-14.90%,0.67,2.33%,-,4.70%,-,10.03%,4.10,30800,-,5.40%,12.90%,43.71,2.32% 2.33%,Yes,0.32,-38.10%,9.90%,0.93,156.42,Yes,0.31,Jul 21 BMO,24.20%,1.26M,159.98,2.80,-2.37%,-5.00%,-4.17%,"1,174,799",2.28%
CDNS,Information Technology,Cadence Design Systems Inc.,0.138105,173.6,S&P 500,62.61,2.68,0.60%,272.43M,8.13%,46.52B,38.02,4.41,-28.55%,272.06M,10.99%,744.10M,3.66,0.96,88.80%,1.35%,13.23%,3.15B,14.75,18.20%,0.07%,2.28,13.05%,10.13,16.55,17.40%,193.89,15.10%,4.09,40.99,17.10%,28.00%,132.32 - 192.70,-10.03%,-,40.01,29.10%,22.90%,-12.99%,1.10,-,1.70,10.50%,89.80%,26.71%,5.06,9300,1.80,22.50%,28.30%,64.39,2.57% 3.09%,Yes,0.00,27.20%,23.60%,0.83,167.71,Yes,0.13,Jul 25 AMC,0.00%,1.61M,167.66,2.20,6.97%,10.66%,4.95%,"1,331,198",-0.03%
IQV,Health Care,IQVIA Holdings Inc,0.12643,221.62,S&P 500,37.02,5.99,0.50%,190.00M,4.11%,42.68B,19.26,11.51,0.00%,187.81M,4.77%,1.16B,2.64,2.41,90.00%,1.04%,-2.87%,14.14B,3.02,246.20%,-0.06%,1.71,-8.02%,31.15,7.11,4.00%,264.00,-11.02%,7.75,28.59,14.04%,16.40%,194.67 - 285.61,-21.45%,-,18.54,59.90%,6.60%,-22.40%,1.32,-,0.90,15.30%,34.40%,13.84%,6.53,82000,0.90,4.70%,9.70%,56.69,3.01% 2.79%,Yes,2.13,54.50%,6.80%,0.65,221.74,Yes,2.12,Jul 21 BMO,0.00%,1.14M,221.62,1.70,2.29%,4.93%,-6.28%,"745,816",-0.05%
PSX,Energy,Phillips 66,0.121788,87.24,S&P 500,15.18,5.75,0.30%,449.30M,5.43%,42.31B,8.56,10.19,-23.39%,-,3.38%,2.54B,2.41,5.88,72.00%,-,4.33%,126.03B,0.34,132.70%,0.42%,2.45,4.55%,48.55,1.80,4.40%,115.46,20.88%,6.88,12.69,6.30%,13.20%,63.19 - 111.28,20.40%,3.88,12.49,0.30%,-3.60%,-21.60%,1.42,4.45%,0.90,5.60%,8.30%,38.06%,3.97,14000,1.10,67.30%,0.20%,51.49,3.46% 3.95%,Yes,0.66,186.60%,2.00%,0.65,84.53,Yes,0.59,Jul 29 BMO,63.30%,4.26M,87.24,2.00,4.95%,-5.75%,3.86%,"2,751,670",3.21%
HCA,Health Care,HCA Healthcare Inc,0.137661,198.63,S&P 500,9.34,21.26,0.60%,302.45M,15.69%,52.67B,10.70,18.57,3.04%,223.53M,11.94%,6.81B,1.72,4.10,68.70%,2.03%,-5.70%,59.72B,0.88,93.70%,-0.07%,2.08,-16.52%,-6.72,-,13.90%,233.23,-20.06%,8.94,22.22,5.42%,-654.10%,164.47 - 279.02,-22.69%,2.24,11.07,23.70%,22.50%,-28.81%,1.66,1.13%,1.20,7.20%,84.00%,20.77%,7.50,204000,1.40,6.90%,16.20%,63.93,3.44% 2.92%,Yes,-,-0.10%,11.60%,1.36,202.03,Yes,-,Jul 22 BMO,6.70%,2.18M,198.63,1.90,13.42%,4.57%,-14.45%,"2,960,871",-1.68%
XEL,Utilities,Xcel Energy Inc.,0.112006,69.46,S&P 500,23.28,2.98,0.20%,545.00M,1.33%,37.30B,20.45,3.40,-1.56%,543.54M,3.24%,1.61B,3.30,0.60,78.20%,1.16%,-6.51%,13.64B,2.73,6.00%,-0.21%,1.83,1.82%,28.87,2.41,2.80%,74.56,1.74%,0.17,414.41,7.04%,10.50%,61.15 - 76.63,2.60%,1.95,-,6.00%,5.80%,-9.36%,0.33,2.81%,0.70,3.90%,88.80%,13.58%,1.47,11321,0.80,5.90%,16.10%,49.79,1.58% 2.16%,Yes,1.49,3.80%,11.80%,0.55,68.67,Yes,1.37,Jul 28 BMO,61.20%,3.45M,69.46,2.50,-0.12%,-2.40%,0.70%,"1,886,240",1.15%
CTVA,Materials,Corteva Inc,0.117194,55.47,S&P 500,23.06,2.40,0.10%,727.00M,6.18%,40.05B,18.84,2.94,-8.09%,725.92M,8.91%,1.78B,1.47,1.46,83.10%,0.81%,-3.83%,16.08B,2.49,149.40%,1.27%,1.30,22.07%,35.35,1.57,4.10%,62.84,31.66%,3.21,17.25,15.71%,6.80%,40.72 - 64.03,17.32%,0.56,43.06,29.80%,2.00%,-13.37%,-,1.01%,1.10,2.40%,40.80%,36.22%,1.51,21000,1.60,10.10%,7.90%,56.93,2.23% 2.53%,Yes,0.08,-3.50%,10.70%,0.58,54.01,Yes,0.04,Aug 04 AMC,23.40%,4.54M,55.47,2.30,4.33%,-1.54%,7.23%,"2,639,742",2.70%
ECL,Materials,Ecolab Inc.,0.120706,162.77,S&P 500,42.44,3.83,0.40%,286.20M,7.29%,46.60B,27.05,6.02,0.41%,282.72M,5.50%,1.11B,3.21,1.09,90.00%,0.84%,-7.09%,13.11B,3.55,15.90%,0.13%,1.90,-16.57%,24.74,6.58,5.60%,185.88,-25.30%,0.35,468.77,13.21%,15.90%,143.82 - 238.93,-30.62%,2.04,69.20,-1.20%,7.90%,-31.88%,1.03,1.25%,0.80,-0.60%,40.10%,13.18%,4.39,47000,1.30,13.20%,11.30%,57.65,2.30% 2.66%,Yes,1.24,-11.00%,8.40%,0.74,162.99,Yes,1.17,Jul 26 BMO,50.40%,1.25M,162.77,2.60,3.73%,2.71%,-14.59%,"919,311",-0.13%
NXPI,Information Technology,NXP Semiconductors NV,0.139129,169.51,S&P 500,21.62,8.05,0.32%,263.09M,7.54%,46.98B,12.72,13.69,0.02%,261.71M,13.43%,2.17B,1.96,3.35,92.70%,1.98%,1.98%,11.63B,4.04,27.60%,0.13%,1.65,-12.91%,24.74,7.04,10.50%,199.08,-11.32%,9.95,17.51,11.05%,32.00%,140.33 - 239.91,-23.55%,3.38,17.35,63.80%,13.40%,-27.42%,1.47,1.94%,1.40,3.10%,55.80%,24.09%,6.11,31000,1.90,22.20%,25.30%,60.08,3.75% 3.66%,Yes,1.62,98.90%,18.70%,1.15,175.14,Yes,1.62,Jul 25 AMC,31.00%,3.13M,174.13,2.20,10.16%,3.00%,-9.36%,"3,611,929",-0.58%
FTNT,Information Technology,Fortinet Inc.,0.123522,61.99,S&P 500,79.63,0.77,11.60%,803.50M,5.17%,49.46B,49.23,1.24,-0.05%,655.25M,7.39%,638.00M,9.59,0.22,71.10%,1.59%,0.23%,3.59B,13.79,24.70%,0.69%,1.60,5.66%,0.27,225.93,11.00%,71.64,10.62%,2.64,23.10,8.30%,80.60%,48.73 - 74.35,-15.14%,-,40.76,81.90%,35.90%,-17.96%,1.18,-,1.20,21.20%,75.50%,25.19%,2.39,10860,1.30,34.40%,19.00%,55.26,3.27% 4.09%,Yes,0.00,30.80%,17.80%,0.49,61.23,Yes,4.54,Aug 03 AMC,0.00%,6.49M,61.00,2.20,2.68%,5.48%,-2.17%,"3,174,635",-0.38%
STZ,Consumer Staples,Constellation Brands Inc. Class A,0.11867,240.67,S&P 500,39.25,6.13,2.30%,188.54M,-1.14%,45.36B,19.03,12.65,-58.90%,171.61M,0.55%,1.26B,3.63,2.76,86.60%,1.38%,-4.10%,9.16B,4.95,-102.30%,-0.04%,2.20,-0.14%,59.57,4.04,4.90%,273.85,7.16%,0.54,445.57,10.82%,11.10%,207.35 - 261.52,-4.10%,3.20,42.69,-15.20%,9.00%,-7.97%,1.04,1.33%,0.70,3.80%,52.90%,16.07%,5.48,10000,1.40,16.60%,33.10%,48.26,1.54% 2.16%,Yes,0.98,139.10%,13.70%,0.53,242.38,Yes,0.92,Jun 30 BMO,34.20%,1.08M,240.67,2.10,-0.73%,-0.27%,2.44%,"574,808",-0.71%
MAR,Consumer Discretionary,Marriott International Inc. Class A,0.124252,152.89,S&P 500,33.91,4.51,1.20%,328.30M,5.81%,50.10B,20.83,7.34,-0.66%,266.52M,14.98%,1.49B,0.85,1.55,61.80%,2.44%,-14.76%,15.74B,3.18,507.20%,-0.23%,2.60,-2.55%,5.40,28.33,6.00%,171.26,9.92%,3.18,48.08,39.75%,121.40%,127.58 - 195.90,-7.41%,1.20,37.22,4.10%,13.00%,-21.90%,1.62,0.78%,0.50,-2.10%,20.80%,19.92%,4.93,120000,0.50,81.30%,13.10%,59.50,2.78% 3.26%,Yes,5.34,-,9.40%,0.62,150.91,Yes,4.93,Aug 02 BMO,0.00%,2.50M,152.99,2.50,7.97%,0.07%,-5.25%,"1,541,315",1.38%
DOW,Materials,Dow Inc.,0.112101,51.58,DJIA S&P500,5.77,8.94,0.10%,734.60M,2.20%,37.96B,7.45,6.92,-12.00%,726.59M,1.02%,6.62B,-,1.80,66.40%,1.79%,-24.70%,60.13B,0.63,411.70%,0.23%,2.15,-9.06%,25.70,2.01,10.10%,61.86,-14.19%,-,-,-4.26%,36.40%,48.27 - 71.86,-9.06%,2.80,6.01,7.80%,17.30%,-28.22%,1.39,5.43%,1.10,2.70%,19.00%,6.86%,1.73,35700,1.70,28.50%,12.30%,41.89,2.52% 2.70%,Yes,0.77,60.50%,10.40%,0.98,50.85,Yes,0.75,Jul 21 BMO,33.20%,6.03M,51.58,2.50,0.54%,-12.69%,-13.66%,"5,919,734",1.44%
ADSK,Information Technology,Autodesk Inc.,0.128305,191.1,S&P 500,88.80,2.20,0.20%,217.00M,10.43%,43.20B,24.84,7.88,-2.08%,216.46M,6.71%,487.40M,3.52,1.57,93.10%,1.37%,4.48%,4.57B,9.46,-58.80%,0.03%,1.62,-18.18%,3.14,62.33,5.90%,248.36,-37.40%,7.18,27.26,25.20%,47.10%,163.20 - 344.39,-30.40%,-,27.32,23.40%,15.80%,-43.17%,1.48,-,0.60,16.60%,90.30%,19.92%,7.06,12600,0.60,18.30%,15.30%,60.40,3.69% 3.66%,Yes,3.86,-4.90%,10.70%,0.79,195.95,Yes,3.35,May 26 AMC,0.00%,1.83M,195.71,1.90,8.30%,5.19%,-16.25%,"1,444,556",-0.12%
APH,Information Technology,Amphenol Corporation Class A,0.12429,69.59,S&P 500,26.15,2.66,0.50%,598.30M,6.70%,41.63B,23.25,2.99,0.00%,593.72M,8.68%,1.67B,2.70,0.68,97.10%,0.84%,0.22%,11.45B,3.64,28.20%,-0.06%,2.20,-9.66%,10.74,6.48,11.40%,83.46,-1.99%,2.17,32.03,9.70%,27.70%,61.67 - 88.45,-20.43%,0.80,50.15,14.00%,15.30%,-21.32%,1.21,1.15%,1.70,11.60%,31.40%,12.84%,1.58,90000,2.50,24.20%,19.50%,62.56,1.98% 2.25%,Yes,0.77,28.80%,14.70%,0.63,69.82,Yes,0.76,Jul 27 BMO,24.50%,2.26M,69.59,2.20,5.84%,3.51%,-7.59%,"1,424,773",-0.33%
WMB,Energy,Williams Companies Inc.,0.116918,33.45,S&P 500,27.78,1.20,0.30%,1.22B,4.83%,40.83B,20.76,1.61,-8.75%,1.21B,10.00%,1.47B,3.92,0.38,86.90%,1.57%,-4.70%,10.54B,3.87,626.10%,0.08%,2.14,16.31%,9.27,3.61,3.20%,37.65,33.00%,0.49,67.60,7.09%,13.00%,23.53 - 37.97,28.46%,1.70,19.56,33.20%,6.00%,-11.90%,1.21,5.08%,0.70,7.20%,62.90%,42.16%,1.07,4783,0.70,-3.40%,24.20%,60.04,2.72% 2.91%,Yes,1.99,-11.10%,13.90%,0.63,32.34,Yes,1.84,Aug 01 AMC,137.10%,8.92M,33.45,2.00,6.76%,-0.03%,8.00%,"5,622,450",3.43%
WELL,Real Estate,Welltower Inc,0.112609,84.12,S&P 500,294.13,0.29,0.10%,447.38M,4.12%,37.50B,62.36,1.35,0.00%,446.40M,2.95%,127.30M,22.63,0.17,99.10%,3.20%,-11.40%,5.09B,7.37,189.50%,0.06%,6.01,-3.87%,40.00,2.10,1.00%,94.84,-4.15%,0.68,124.53,13.00%,1.90%,76.56 - 99.43,-1.92%,2.44,154.82,-33.40%,2.00%,-15.40%,0.95,2.90%,-,2.10%,41.80%,9.87%,1.90,464,-,32.70%,13.70%,56.89,2.19% 2.12%,Yes,0.82,191.40%,6.40%,0.73,82.83,Yes,0.82,May 10 AMC,324.90%,2.38M,84.12,2.10,2.44%,0.09%,-2.27%,"1,743,610",1.56%
DLR,Real Estate,Digital Realty Trust Inc.,0.108001,127.12,S&P 500,26.36,4.82,0.10%,284.53M,5.94%,35.53B,78.66,1.62,-20.60%,284.36M,-6.97%,1.37B,1.08,0.29,97.90%,3.09%,-15.12%,4.46B,7.96,491.90%,0.15%,5.53,-17.96%,59.63,2.13,3.80%,157.89,-17.91%,0.57,224.87,24.38%,8.10%,119.62 - 178.22,-28.13%,4.88,-,21.90%,2.00%,-28.67%,0.31,3.84%,-,15.60%,61.80%,6.27%,3.48,3030,-,3.40%,13.20%,49.37,2.53% 2.58%,Yes,0.85,-83.20%,30.70%,1.06,127.42,Yes,0.85,Jul 28 AMC,95.90%,1.59M,127.12,2.20,-0.16%,-2.32%,-12.99%,"1,684,253",-0.24%
PAYX,Information Technology,Paychex Inc.,0.116671,121.43,S&P 500,31.68,3.84,10.70%,360.60M,6.05%,43.60B,27.46,4.42,-0.34%,321.13M,3.59%,1.39B,2.32,0.97,72.10%,3.08%,-7.48%,4.61B,9.45,26.60%,0.20%,5.39,2.40%,8.56,14.20,14.30%,127.81,8.26%,3.41,35.62,13.63%,44.40%,106.55 - 141.92,-10.97%,3.16,88.02,11.00%,36.20%,-14.37%,0.98,2.60%,1.20,7.90%,-,14.05%,3.00,16000,1.20,11.20%,39.90%,57.84,2.14% 2.48%,Yes,0.26,12.50%,30.20%,0.81,122.44,Yes,0.26,Jun 29 BMO,71.70%,1.83M,121.52,2.90,3.55%,2.25%,-1.67%,"1,494,541",-0.75%
PRU,Financials,Prudential Financial Inc.,0.107622,96.87,S&P 500,7.86,12.32,0.10%,376.10M,4.54%,36.54B,8.00,12.11,-22.72%,374.60M,4.74%,4.79B,-,2.36,60.50%,2.20%,-16.37%,67.20B,0.54,-20.50%,0.79%,4.21,-11.94%,116.93,0.83,0.50%,102.29,-2.64%,37.34,2.59,-4.68%,8.30%,89.73 - 124.22,-10.50%,4.80,3.13,15.00%,9.50%,-22.02%,1.43,4.96%,-,3.80%,-,7.96%,2.62,40916,-,-22.00%,8.70%,52.09,2.15% 2.43%,Yes,0.47,-101.40%,7.10%,0.66,95.51,Yes,0.45,Aug 02 AMC,37.40%,1.96M,96.87,3.10,1.54%,-1.49%,-10.58%,"1,299,418",1.42%
CMG,Consumer Discretionary,Chipotle Mexican Grill Inc.,0.112433,1328.87,S&P 500,55.25,24.05,0.70%,28.04M,0.74%,37.73B,31.74,41.86,-3.74%,27.79M,3.05%,684.20M,2.05,9.04,95.30%,3.90%,-10.26%,7.83B,4.82,82.90%,0.34%,4.21,-3.59%,76.10,17.46,10.50%,1768.81,-27.42%,30.16,44.06,26.94%,30.70%,1196.28 - 1958.55,-23.99%,-,46.75,97.10%,28.10%,-32.15%,1.27,-,1.30,14.10%,27.70%,11.08%,44.35,97660,1.30,16.00%,10.70%,51.06,2.82% 3.13%,Yes,0.00,25.80%,8.70%,1.28,1347.33,Yes,0.00,Jul 26 AMC,0.00%,257.33K,1328.87,1.90,0.70%,1.21%,-13.37%,"328,395",-1.37%
TEL,Information Technology,TE Connectivity Ltd.,0.120122,123.06,S&P 500,16.28,7.56,0.21%,325.00M,6.94%,40.22B,16.02,7.68,-1.83%,318.20M,6.46%,2.50B,1.57,1.75,98.70%,1.07%,0.15%,15.49B,2.60,968.00%,0.60%,2.12,-18.45%,32.13,3.83,11.70%,143.29,-11.05%,2.29,53.69,10.36%,23.70%,107.12 - 166.44,-23.73%,2.24,40.66,6.20%,15.70%,-26.06%,1.29,1.82%,0.90,5.60%,33.00%,14.88%,3.24,89000,1.50,7.20%,17.80%,59.55,2.39% 2.54%,Yes,0.39,13.30%,16.10%,0.61,123.05,Yes,0.33,Jul 27 BMO,26.20%,1.60M,123.06,-,6.34%,2.06%,-11.32%,"971,041",0.01%
SBAC,Real Estate,SBA Communications Corp. Class A,0.104598,318.0,S&P 500,80.84,3.96,0.70%,108.09M,2.21%,34.52B,65.26,4.91,-4.69%,106.48M,-1.66%,438.00M,2.29,0.90,97.30%,1.30%,-12.53%,2.38B,14.51,906.10%,-0.00%,2.04,2.59%,-50.19,-,-,377.82,-4.93%,-,-,35.30%,-,286.41 - 391.15,-17.63%,2.84,-,28.50%,10.40%,-18.08%,0.42,0.89%,0.40,7.20%,76.10%,11.88%,9.29,1596,0.40,13.00%,-,49.53,2.71% 2.64%,Yes,-,-,-,0.76,320.81,Yes,-,Aug 01 AMC,-,679.19K,320.44,2.20,-0.35%,-0.88%,-4.79%,"519,025",-0.12%
ALL,Financials,Allstate Corporation,0.095693,116.72,S&P 500,10.42,11.20,0.20%,278.10M,-2.55%,32.01B,9.53,12.25,-38.61%,273.52M,-4.18%,3.32B,1.96,-1.30,78.10%,1.18%,-11.62%,50.47B,0.63,0.80%,-0.02%,1.72,-2.25%,76.38,1.53,3.00%,142.71,-10.04%,4.12,28.33,5.32%,14.80%,106.11 - 144.46,-0.79%,3.40,11.36,29.50%,16.50%,-19.20%,0.77,2.91%,-,6.50%,-,10.00%,3.42,54300,-,-0.90%,8.30%,35.05,2.71% 2.43%,Yes,0.38,-71.60%,7.00%,0.66,116.20,Yes,0.38,Aug 03 AMC,26.90%,1.87M,116.72,2.40,-6.97%,-7.97%,-6.52%,"1,237,189",0.45%
A,Health Care,Agilent Technologies Inc.,0.11262,124.26,S&P 500,29.96,4.15,0.20%,299.00M,7.95%,37.76B,23.17,5.36,-1.31%,297.96M,4.77%,1.26B,2.00,1.20,94.50%,0.77%,2.42%,6.53B,5.78,71.00%,0.67%,1.26,-9.64%,17.13,7.25,12.00%,144.56,-18.42%,3.97,31.28,15.00%,24.50%,112.52 - 179.57,-22.17%,0.84,46.38,22.90%,14.70%,-30.80%,1.05,0.68%,1.50,8.50%,54.00%,10.43%,3.65,17400,2.00,5.40%,22.50%,55.73,2.74% 2.78%,Yes,0.57,29.40%,19.40%,0.57,125.04,Yes,0.53,Aug 16 AMC,18.90%,1.82M,124.26,-,3.37%,2.70%,-9.54%,"1,042,730",-0.62%
CTSH,Information Technology,Cognizant Technology Solutions Corporation Class A,0.10808,68.22,S&P 500,16.37,4.17,0.10%,524.00M,4.79%,35.49B,13.60,5.02,-5.06%,520.50M,1.25%,2.19B,1.56,1.08,94.50%,1.08%,-17.97%,18.93B,1.87,57.30%,-0.21%,1.70,-19.04%,22.85,2.99,12.70%,84.71,-1.54%,4.46,15.31,10.48%,18.80%,63.26 - 93.47,-23.11%,1.08,19.88,9.70%,16.80%,-27.01%,1.09,1.58%,2.20,6.50%,36.90%,7.84%,1.60,340400,2.20,9.70%,15.20%,50.21,1.91% 2.21%,Yes,0.05,12.80%,11.60%,0.78,69.10,Yes,0.05,Jul 27 AMC,23.70%,3.31M,68.22,2.40,1.25%,-2.17%,-15.35%,"2,584,189",-1.27%
MNST,Consumer Staples,Monster Beverage Corporation,0.106675,95.7,S&P 500,37.85,2.53,0.20%,529.40M,0.86%,51.14B,29.75,3.22,-21.85%,376.53M,3.97%,1.36B,2.72,0.69,65.30%,1.23%,11.90%,5.82B,8.79,-2.40%,0.03%,1.50,11.94%,12.97,7.39,17.80%,102.00,-0.47%,5.12,18.72,13.93%,21.20%,71.78 - 99.89,-0.21%,-,55.41,16.70%,20.90%,-4.05%,0.92,-,3.80,12.70%,54.50%,33.53%,2.23,4092,4.50,22.10%,30.70%,55.81,1.84% 2.30%,Yes,0.00,-6.80%,23.30%,0.61,95.07,Yes,0.00,May 05 AMC,0.00%,3.07M,95.84,2.20,0.25%,4.93%,9.77%,"1,874,813",0.81%
MSI,Information Technology,Motorola Solutions Inc.,0.111447,223.51,S&P 500,30.62,7.30,0.20%,168.00M,5.48%,37.57B,20.25,11.04,-60.96%,166.32M,5.89%,1.27B,2.72,1.87,89.10%,0.78%,-0.63%,8.29B,4.53,31.60%,0.47%,1.51,-5.77%,-1.88,-,10.90%,273.33,0.82%,5.22,42.79,11.28%,-519.10%,195.18 - 273.65,-17.74%,3.16,42.74,17.30%,23.80%,-18.32%,0.90,1.41%,0.90,6.20%,48.70%,14.52%,5.09,18700,1.10,6.70%,19.20%,60.35,1.79% 2.24%,Yes,-,9.50%,15.30%,0.68,221.16,Yes,-,Aug 04 AMC,38.90%,860.83K,223.51,1.90,4.31%,5.02%,-4.00%,"586,444",1.06%
DLTR,Consumer Discretionary,Dollar Tree Inc.,0.115311,161.9,S&P 500,25.73,6.54,0.10%,225.30M,-0.64%,37.75B,17.96,9.38,-0.65%,221.67M,8.30%,1.49B,1.55,1.57,-,1.79%,0.56%,26.74B,1.41,2.50%,0.30%,1.62,33.42%,36.58,4.60,6.90%,175.47,68.17%,5.44,30.98,16.55%,19.70%,84.26 - 177.19,19.85%,-,26.78,8.90%,13.50%,-4.95%,0.70,-,0.30,4.90%,30.30%,99.88%,4.72,61886,1.50,6.50%,7.60%,56.90,2.99% 2.87%,Yes,0.00,48.30%,5.60%,0.78,172.01,Yes,0.41,May 26 BMO,0.00%,2.46M,168.42,2.40,2.30%,6.88%,17.83%,"1,914,659",-2.09%
EA,Communication Services,Electronic Arts Inc.,0.109624,130.0,S&P 500,47.18,2.75,0.20%,284.00M,5.10%,36.30B,15.97,8.13,-16.80%,277.87M,0.74%,789.00M,3.63,0.28,92.70%,1.64%,1.43%,6.99B,5.19,-3.80%,-0.56%,1.70,-6.54%,26.85,4.84,5.90%,152.39,-10.39%,10.96,11.86,13.01%,10.20%,109.24 - 147.76,-1.50%,0.76,23.91,-2.20%,8.80%,-12.07%,0.84,0.58%,1.20,7.60%,73.60%,18.93%,2.65,12900,1.20,35.60%,16.10%,59.07,1.82% 2.17%,Yes,0.00,204.40%,11.30%,0.52,130.16,Yes,0.25,Aug 02 AMC,24.50%,2.68M,129.92,1.90,4.04%,0.32%,-0.16%,"1,400,645",-0.18%
ED,Utilities,Consolidated Edison Inc.,0.09748,94.09,S&P 500,21.74,4.33,0.10%,354.10M,2.68%,32.75B,19.43,4.84,-17.34%,353.86M,3.04%,1.53B,4.22,0.60,67.40%,2.05%,-2.49%,14.06B,2.33,17.50%,0.11%,3.97,13.83%,57.55,1.63,2.40%,88.20,26.84%,0.31,303.26,5.16%,7.60%,71.52 - 101.12,10.28%,3.16,17.91,-1.40%,4.90%,-6.95%,0.21,3.36%,0.90,2.50%,80.60%,31.56%,1.97,13871,1.00,10.40%,17.70%,54.51,1.68% 2.04%,Yes,1.19,38.80%,10.90%,0.63,92.44,Yes,1.11,Aug 04 AMC,71.80%,1.82M,94.09,3.60,1.17%,-0.08%,7.77%,"1,157,123",1.78%
